City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Ponta Pora,BR,-22.5361,-55.7256,69.69,51,82,4.9,broken clouds
265,Ingham,US,42.6,-84.3833,28.17,71,1,3.44,clear sky
266,Lompoc,US,34.6391,-120.4579,72.12,75,89,11.01,overcast clouds
267,Khani,GE,41.9563,42.9566,29.77,58,5,5.79,clear sky
268,Pacific Grove,US,36.6177,-121.9166,64.8,33,1,1.01,clear sky
269,Martapura,ID,-3.4167,114.85,86.09,74,20,6.91,few clouds
270,Alofi,NU,-19.0595,-169.9187,79.23,74,98,9.86,overcast clouds
271,Kodiak,US,57.79,-152.4072,18.91,49,1,11.5,clear sky
272,Verkh-Chebula,RU,56.0308,87.6218,27.63,81,93,17.36,overcast clouds
273,Ozernovskiy,RU,51.5,156.5167,39.09,65,100,5.26,overcast clouds
274,Cidreira,BR,-30.1811,-50.2056,70.11,78,0,12.62,clear sky
275,Clonakilty,IE,51.6231,-8.8706,36.61,79,2,5.35,clear sky
276,Darhan,MN,49.4867,105.9228,9.75,80,21,2.71,few clouds
277,Virginia Beach,US,36.8529,-75.978,51.03,69,98,5.99,overcast clouds
278,Arlit,NE,18.7369,7.3853,72.0,20,0,3.2,clear sky
279,Locri,IT,38.2414,16.2623,61.16,73,6,4.5,clear sky
280,Namibe,AO,-15.1961,12.1522,68.92,77,31,4.23,scattered clouds
281,Brewster,US,41.3973,-73.6171,39.29,63,1,0.0,clear sky
282,Karanja,IN,20.4833,77.4833,75.49,73,82,6.53,broken clouds
283,Chalmette,US,29.9427,-89.9634,62.6,61,1,1.99,clear sky
284,Katsuura,JP,35.1333,140.3,64.18,80,96,14.83,overcast clouds
285,Toora-Khem,RU,52.4675,96.11,9.59,93,100,3.44,light snow
286,Synya,RU,65.3718,58.0387,2.91,96,100,5.64,overcast clouds
287,Haines Junction,CA,60.7522,-137.5108,1.56,99,100,2.15,overcast clouds
288,Bubaque,GW,11.2833,-15.8333,82.35,78,5,11.21,clear sky
289,Teguise,ES,29.0605,-13.564,62.82,77,0,1.14,clear sky
290,Paita,PE,-5.0892,-81.1144,64.85,84,24,7.52,few clouds
291,Praia,CV,14.9215,-23.5087,77.54,73,20,16.11,few clouds
292,Amga,RU,60.8953,131.9608,-14.62,88,100,2.66,overcast clouds
293,Derzhavinsk,KZ,51.1,66.3167,28.71,90,81,16.58,broken clouds
294,Springbok,ZA,-29.6643,17.8865,52.48,92,51,3.13,broken clouds
295,Camacha,PT,33.0833,-16.3333,63.82,82,20,9.22,few clouds
296,Victoria,HK,22.2855,114.1577,62.26,78,100,4.0,overcast clouds
