City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Peruibe,BR,2021-11-22 00:49:08,-24.32,-46.9983,62.64,87,0,5.19
191,Henties Bay,NA,2021-11-22 00:49:08,-22.116,14.2845,59.86,91,0,6.89
192,Lasa,IT,2021-11-22 00:49:09,46.6166,10.7002,43.68,85,99,2.42
193,Westport,US,2021-11-22 00:49:10,41.1415,-73.3579,54.09,89,90,5.99
194,Chauk,MM,2021-11-22 00:49:10,20.8833,94.8167,75.72,78,3,3.09
195,Hamilton,US,2021-11-22 00:49:11,39.1834,-84.5333,46.58,95,90,1.99
196,Rio Gallegos,AR,2021-11-22 00:46:53,-51.6226,-69.2181,46.45,34,40,14.97
197,Faanui,PF,2021-11-22 00:49:12,-16.4833,-151.75,79.92,68,6,6.93
198,Dakar,SN,2021-11-22 00:49:13,14.6937,-17.4441,78.93,89,0,9.22
199,Feicheng,CN,2021-11-22 00:49:13,35.2606,117.9675,34.68,33,0,13.11
200,Verkh-Usugli,RU,2021-11-22 00:49:14,52.7,115.1667,-1.21,90,15,2.86
201,Trapani,IT,2021-11-22 00:49:15,37.8333,12.6667,59.18,87,100,10.38
202,Muros,ES,2021-11-22 00:49:15,42.7762,-9.0603,52.23,90,55,17.05
203,Grand Gaube,MU,2021-11-22 00:49:16,-20.0064,57.6608,73.8,79,0,3.0
204,Tiksi,RU,2021-11-22 00:49:16,71.6872,128.8694,-16.58,99,97,0.34
205,Miri,MY,2021-11-22 00:49:17,4.4148,114.0089,80.74,83,20,2.3
206,Victoria,HK,2021-11-22 00:44:40,22.2855,114.1577,69.24,90,100,1.01
207,Oktyabrskoye,RU,2021-11-22 00:49:18,43.0645,44.7417,26.74,93,0,4.47
208,Kaitangata,NZ,2021-11-22 00:49:19,-46.2817,169.8464,51.04,87,100,4.5
209,Kiunga,PG,2021-11-22 00:49:19,-6.1219,141.2906,85.03,71,98,4.0
210,Jardim,BR,2021-11-22 00:47:58,-21.4803,-56.1381,74.62,63,6,4.52
211,Coquimbo,CL,2021-11-22 00:49:20,-29.9533,-71.3436,56.93,94,75,5.75
212,Neuquen,AR,2021-11-22 00:47:04,-38.9516,-68.0591,82.29,28,0,9.22
213,Quepos,CR,2021-11-22 00:49:22,9.4236,-84.1652,82.54,88,77,1.36
214,Souillac,MU,2021-11-22 00:49:22,-20.5167,57.5167,73.78,88,75,3.44
215,Pavlovsk,RU,2021-11-22 00:49:23,50.4578,40.1081,45.36,74,97,18.41
216,Synya,RU,2021-11-22 00:49:24,65.3718,58.0387,2.79,98,98,1.36
217,Estacion Coahuila,MX,2021-11-22 00:49:24,32.1939,-115.0017,79.9,17,100,11.79
218,Broome,US,2021-11-22 00:49:25,42.2506,-75.833,43.2,77,90,1.01
219,San Patricio,US,2021-11-22 00:49:26,28.017,-97.5169,78.89,78,99,5.97
220,Wuwei,CN,2021-11-22 00:49:26,37.9281,102.6414,25.39,36,0,1.16
221,Canico,PT,2021-11-22 00:49:27,32.6333,-16.85,69.01,94,75,4.61
222,Banda Aceh,ID,2021-11-22 00:49:28,5.5577,95.3222,80.15,76,96,4.5
223,Kholtoson,RU,2021-11-22 00:49:29,50.2981,103.3097,0.21,84,34,3.38
224,Narrabri,AU,2021-11-22 00:49:30,-30.3167,149.7833,65.52,88,90,16.11
225,Mitu,CO,2021-11-22 00:49:31,1.1983,-70.1733,71.08,98,60,1.43
226,Quang Ngai,VN,2021-11-22 00:50:31,15.1167,108.8,78.21,85,13,4.92
227,Deputatskiy,RU,2021-11-22 00:50:32,69.3,139.9,-15.21,100,100,1.34
228,Never,FR,2021-11-22 00:50:33,46.9896,3.159,40.75,92,88,7.14
229,Baft,IR,2021-11-22 00:50:33,29.234,56.6057,47.5,60,0,3.53
230,Narwar,IN,2021-11-22 00:50:34,25.65,77.9,65.62,63,3,2.51
231,Padang,ID,2021-11-22 00:50:34,-0.9492,100.3543,77.05,72,60,1.77
232,Mookane,BW,2021-11-22 00:50:35,-23.688,26.6595,64.96,91,100,9.19
233,Nemuro,JP,2021-11-22 00:50:36,43.3236,145.575,37.83,78,100,21.21
234,Pangnirtung,CA,2021-11-22 00:50:37,66.1451,-65.7125,6.64,77,96,6.53
235,Chegdomyn,RU,2021-11-22 00:50:38,51.1167,133.0167,12.83,84,100,4.25
236,Hobyo,SO,2021-11-22 00:50:38,5.3505,48.5268,78.58,71,100,11.92
237,Lethem,GY,2021-11-22 00:50:39,3.3803,-59.7968,76.91,88,100,1.01
238,Puerto Colombia,CO,2021-11-22 00:50:39,10.9878,-74.9547,80.69,79,100,16.58
239,Andenes,NO,2021-11-22 00:50:40,69.3143,16.1194,28.38,93,90,6.91
240,Isangel,VU,2021-11-22 00:50:41,-19.55,169.2667,87.91,74,75,6.91
241,Popova,RU,2021-11-22 00:50:42,42.9603,131.7228,28.49,78,100,18.19
242,Yemtsa,RU,2021-11-22 00:50:42,63.0734,40.3329,25.81,95,100,6.78
243,Jishou,CN,2021-11-22 00:50:43,28.3167,109.7167,49.53,75,94,3.78
244,Kruisfontein,ZA,2021-11-22 00:50:43,-34.0033,24.7314,65.88,96,100,5.23
245,Pereslavl-Zalesskiy,RU,2021-11-22 00:50:44,56.7393,38.8563,27.61,95,100,7.09
246,Redlands,US,2021-11-22 00:50:44,34.0556,-117.1825,79.75,21,1,8.05
247,Jizan,SA,2021-11-22 00:50:45,17.3333,42.6667,79.74,64,76,3.15
248,River Falls,US,2021-11-22 00:50:46,44.8614,-92.6238,26.71,54,3,15.17
249,Whitehorse,CA,2021-11-22 00:46:35,60.7161,-135.0538,0.37,84,90,3.0
250,Messina,IT,2021-11-22 00:49:37,38.1933,15.5497,62.19,79,40,4.61
251,Kalanguy,RU,2021-11-22 00:50:47,51.0167,116.5167,-0.69,96,30,3.04
252,Leningradskiy,RU,2021-11-22 00:50:48,69.3833,178.4167,-14.8,99,42,3.69
253,Walvis Bay,NA,2021-11-22 00:50:48,-22.9575,14.5053,60.1,94,0,2.3
254,Waipawa,NZ,2021-11-22 00:50:49,-41.4122,175.5153,62.29,65,67,8.48
255,Santa Maria,BR,2021-11-22 00:50:50,-29.6842,-53.8069,69.1,68,0,2.3
256,Maningrida,AU,2021-11-22 00:50:50,-12.0667,134.2667,92.03,49,55,6.51
257,Ahuimanu,US,2021-11-22 00:50:51,21.4447,-157.8378,87.51,57,20,17.27
258,Bengkulu,ID,2021-11-22 00:50:52,-3.8004,102.2655,80.06,77,84,3.36
259,Chokurdakh,RU,2021-11-22 00:50:52,70.6333,147.9167,-16.91,100,100,2.53
260,Inta,RU,2021-11-22 00:50:54,66.0317,60.1659,7.14,92,100,6.24
261,Teya,RU,2021-11-22 00:50:54,60.3778,92.6267,4.05,98,100,3.38
262,Port Elizabeth,ZA,2021-11-22 00:48:05,-33.918,25.5701,68.29,94,90,16.11
263,Buala,SB,2021-11-22 00:50:55,-8.145,159.5921,86.97,64,14,6.17
264,Clyde River,CA,2021-11-22 00:50:56,70.4692,-68.5914,1.63,92,93,4.61
265,Cuiaba,BR,2021-11-22 00:50:16,-15.5961,-56.0967,80.53,89,75,0.0
266,Phalombe,MW,2021-11-22 00:50:57,-15.8064,35.6507,68.09,90,73,3.67
267,Shelburne,CA,2021-11-22 00:50:58,44.0787,-80.2041,39.18,98,100,17.54
268,Rio Verde De Mato Grosso,BR,2021-11-22 00:50:58,-18.9181,-54.8442,74.37,88,88,5.88
269,Nelidovo,RU,2021-11-22 00:50:59,56.2211,32.7774,31.05,87,90,12.39
